监测时间,SO2,NO2,PM10,PM2_5,O3,CO,SO2_IAQI,NO2_IAQI,CO_IAQI,O3_IAQI,PM2_5_IAQI,PM10_IAQI,AQI,AQI_Category
2019-04-16,5,56,36,31,103,0.8,5,70,20,53,44,36,70,良
2019-04-17,9,63,67,53,206,1.1,9,79,28,142,73,59,142,轻度污染
2019-04-18,6,37,31,25,83,0.6,6,46,15,42,36,31,46,优
2019-04-19,5,50,23,15,71,0.6,5,63,15,36,21,23,63,良
2019-04-20,6,68,33,26,32,0.7,6,85,18,16,37,33,85,良
2019-04-21,4,53,41,27,35,0.7,4,66,18,18,39,41,66,良
2019-04-22,4,32,32,16,64,0.6,4,40,15,32,23,32,40,优
2019-04-23,6,27,35,17,65,0.5,6,34,13,33,24,35,35,优
2019-04-24,5,20,35,16,85,0.6,5,25,15,43,23,35,43,优
2019-04-25,7,23,36,19,79,0.7,7,29,18,40,27,36,40,优
2019-04-26,8,32,44,22,67,0.7,8,40,18,34,31,44,44,优
2019-04-27,6,48,22,12,56,0.7,6,60,18,28,17,22,60,良
2019-04-28,6,42,34,22,78,0.7,6,53,18,39,31,34,53,良
2019-04-29,7,34,39,22,80,0.6,7,43,15,40,31,39,43,优
2019-04-30,5,33,28,16,109,0.7,5,41,18,58,23,28,58,良
2019-05-01,5,29,25,12,81,0.9,5,36,23,41,17,25,41,优
2019-05-02,5,33,30,20,46,0.9,5,41,23,23,29,30,41,优
2019-05-03,7,40,46,28,132,0.7,7,50,18,77,40,46,77,良
2019-05-04,6,64,51,32,60,0.7,6,80,18,30,46,51,80,良
2019-05-05,6,52,27,24,32,0.7,6,65,18,16,34,27,65,良
2019-05-06,5,47,20,12,27,0.7,5,59,18,14,17,20,59,良
2019-05-07,6,51,24,16,41,0.7,6,64,18,21,23,24,64,良
2019-05-08,6,51,26,21,20,0.8,6,64,20,10,30,26,64,良
2019-05-09,6,45,28,15,62,0.8,6,56,20,31,21,28,56,良
2019-05-10,8,51,56,31,98,0.9,8,64,23,49,44,53,64,良
2019-05-11,13,47,61,49,206,0.9,13,59,23,142,68,56,142,轻度污染
2019-05-12,11,34,43,29,126,0.7,11,43,18,72,41,43,72,良
2019-05-13,10,38,45,25,99,0.7,10,48,18,50,36,45,50,优
2019-05-14,7,27,34,20,96,0.6,7,34,15,48,29,34,48,优
