监测时间,SO2监测浓度(μg/m³),NO2监测浓度(μg/m³),PM10监测浓度(μg/m³),PM2.5监测浓度(μg/m³),O3监测浓度(μg/m³),CO监测浓度(mg/m³),温度(℃),湿度(%),气压(MBar),风速(m/s),风向(°),云量,长波辐射（W/m²）
2019-4-16 0:00,5,75,61,38,1,1,21.1,89,1013,1.2,346.5,0.0382011,428.278
2019-4-16 1:00,5,64,60,41,25,0.8,20.4,92,1012.4,1.1,18,0.0588922,427.531
2019-4-16 2:00,4,60,36,40,25,0.8,20,93,1011.3,1.1,65.9,0.0650386,427.428
2019-4-16 3:00,4,39,35,33,41,0.7,19.8,93,1010.4,1.5,78.4,1,442.472
2019-4-16 4:00,4,39,28,39,36,0.8,19.9,92,1010,1.5,73.5,0.935074,458.394
2019-4-16 5:00,4,42,34,39,32,0.8,20,92,1010,1.9,76.5,0.786406,429.248
2019-4-16 6:00,5,38,41,40,38,0.7,20.2,89,1010.3,1.3,125.6,0.378593,429.953
2019-4-16 7:00,6,49,38,48,26,0.7,20.2,90,1011.5,1.2,9.8,0.18994,426.906
2019-4-16 8:00,5,57,31,42,23,0.8,20,92,1012.7,1.9,356.7,0.18341,426.406
2019-4-16 9:00,5,58,11,33,20,0.8,19.7,92,1013.1,1.8,20.6,0.18341,426.406
2019-4-16 10:00,4,50,3,6,31,0.8,20.1,91,1012.7,1.4,78.8,0.0941508,427.465
2019-4-16 11:00,4,53,10,7,37,0.9,20.9,88,1012.4,1.1,238.6,0.0538522,430.24
2019-4-16 12:00,7,58,25,8,48,0.9,21.6,86,1011,1.2,248.6,0.0312602,432.982
2019-4-16 13:00,6,51,22,24,77,0.8,22.8,79,1010.8,1.4,16.8,0.0243073,435.459
2019-4-16 14:00,5,38,18,20,99,0.7,24.3,73,1009.8,1.3,5.1,0.0130307,434.1
2019-4-16 15:00,5,37,19,14,128,0.7,25.6,68,1009.2,1.5,5.9,0,443.455
2019-4-16 16:00,4,44,31,17,130,0.8,25.6,66,1009.1,1.5,7.3,1,481.896
2019-4-16 17:00,5,48,47,22,153,0.8,25.1,69,1009.3,1.3,348,0,484.802
2019-4-16 18:00,5,56,39,35,105,0.8,24.2,72,1009.3,1.5,355,0,453.007
2019-4-16 19:00,5,62,43,29,78,0.9,23.4,76,1009.6,0.6,341.5,0.219314,452.111
2019-4-16 20:00,5,67,49,40,55,1,22.8,79,1010.5,0.5,287.4,0.0622471,446.168
2019-4-16 21:00,5,71,51,39,32,1.1,22.4,81,1011.1,0.2,189.7,0.137627,436.141
2019-4-16 22:00,5,100,61,47,2,1.1,21.9,84,1011.6,0.4,223.8,0.141173,432.954
2019-4-16 23:00,5,90,62,48,1,1.2,21.6,86,1011.7,0.4,265.2,0.146696,426.418
2019-4-17 0:00,5,77,50,50,1,1.1,21.2,87,1011.4,0.3,247.1,0.147554,427.691
2019-4-17 1:00,5,84,54,41,0,1.2,20.9,88,1011,0.3,294.5,0.0739639,429.974
2019-4-17 2:00,5,81,57,46,0,1.2,20.9,89,1010.6,0.2,272.1,0.0758454,428.794
2019-4-17 3:00,6,91,57,40,0,1.3,21,89,1010,0.2,342.3,0.109583,427.635
2019-4-17 4:00,8,96,63,50,0,1.3,21.1,88,1010,0.4,324.5,0.163882,427.733
2019-4-17 5:00,7,92,66,53,0,1.4,21,89,1010.2,0.2,123.7,0.0787658,428.641
2019-4-17 6:00,8,89,83,60,0,1.7,21.1,90,1010.7,0.5,50.9,0.296545,430.022
2019-4-17 7:00,8,88,93,65,1,1.7,21.8,88,1011.4,0.7,30.6,0.94878,458.96
2019-4-17 8:00,12,90,86,65,6,1.5,22.9,82,1012.2,1.3,49,0.890487,432.3
2019-4-17 9:00,14,74,71,64,28,1,23.7,75,1012.8,1.5,53.6,0.770865,451.353
2019-4-17 10:00,11,59,36,46,66,0.9,24.6,70,1012.7,1.3,83.2,0.770865,451.353
2019-4-17 11:00,11,40,36,33,112,0.8,25.4,67,1012.1,1.4,97.2,0.367493,433.079
2019-4-17 12:00,10,33,34,27,146,0.8,26,64,1011.3,1.6,54.8,0.0282646,434.427
2019-4-17 13:00,11,31,45,33,209,0.8,26.7,62,1010.3,1.3,93.1,0.0162469,437.364
2019-4-17 14:00,11,33,64,53,232,0.8,27.3,61,1009.4,0.8,221,0.0198342,440.546
2019-4-17 15:00,11,38,63,56,256,0.9,28.3,59,1008.6,0.8,283.5,0,439.676
