监测日期,SO2监测浓度(μg/m3),NO2监测浓度(μg/m3),PM10监测浓度(μg/m3),PM2.5监测浓度(μg/m3),O3最大八小时滑动平均监测浓度(μg/m3),CO监测浓度(mg/m3)
2019-4-16,5,56,36,31,103,0.8
2019-4-17,9,63,67,53,206,1.1
2019-4-18,6,37,31,25,83,0.6
2019-4-19,5,50,23,15,71,0.6
2019-4-20,6,68,33,26,32,0.7
2019-4-21,4,53,41,27,35,0.7
2019-4-22,4,32,32,16,64,0.6
2019-4-23,6,27,35,17,65,0.5
2019-4-24,5,20,35,16,85,0.6
2019-4-25,7,23,36,19,79,0.7
2019-4-26,8,32,44,22,67,0.7
2019-4-27,6,48,22,12,56,0.7
2019-4-28,6,42,34,22,78,0.7
2019-4-29,7,34,39,22,80,0.6
2019-4-30,5,33,28,16,109,0.7
2019-5-1,5,29,25,12,81,0.9
2019-5-2,5,33,30,20,46,0.9
2019-5-3,7,40,46,28,132,0.7
2019-5-4,6,64,51,32,60,0.7
2019-5-5,6,52,27,24,32,0.7
2019-5-6,5,47,20,12,27,0.7
2019-5-7,6,51,24,16,41,0.7
2019-5-8,6,51,26,21,20,0.8
2019-5-9,6,45,28,15,62,0.8
2019-5-10,8,51,56,31,98,0.9
2019-5-11,13,47,61,49,206,0.9
2019-5-12,11,34,43,29,126,0.7
2019-5-13,10,38,45,25,99,0.7
2019-5-14,7,27,34,20,96,0.6
2019-5-15,6,25,38,20,54,0.7
2019-5-16,5,21,40,20,84,0.7
2019-5-17,3,16,36,17,81,0.7
2019-5-18,7,14,36,17,100,0.6
2019-5-19,5,12,35,16,100,0.6
2019-5-20,4,25,32,14,118,0.7
2019-5-21,4,40,44,29,80,0.8
2019-5-22,7,30,45,33,128,0.8
2019-5-23,6,43,37,29,54,0.9
2019-5-24,3,32,37,29,88,0.7
2019-5-25,4,28,29,14,48,0.6
2019-5-26,4,23,18,7,71,0.6
2019-5-27,7,30,20,8,78,0.6
2019-5-28,7,42,25,12,87,0.6
2019-5-29,4,46,25,17,41,0.6
2019-5-30,5,40,31,16,67,0.5
2019-5-31,5,49,36,19,72,0.6
2019-6-1,4,34,23,13,76,0.6
2019-6-2,5,30,24,10,54,0.6
2019-6-3,4,30,23,11,97,0.7
2019-6-4,3,37,26,11,70,0.7
2019-6-5,4,31,31,13,43,0.6
2019-6-6,3,19,23,8,64,0.5
2019-6-7,4,10,16,4,70,0.5
2019-6-8,4,11,17,4,67,0.4
2019-6-9,5,13,20,4,58,0.5
2019-6-10,2,21,21,6,70,0.5
2019-6-11,4,49,24,14,54,0.7
2019-6-12,6,47,28,15,94,0.6
2019-6-13,5,31,26,11,108,0.7
2019-6-14,4,36,30,14,180,0.7
2019-6-15,8,38,41,22,208,0.7
2019-6-16,5,24,36,17,148,0.6
2019-6-17,4,25,30,13,119,0.6
2019-6-18,5,29,19,7,61,0.6
2019-6-19,4,24,24,8,84,0.8
2019-6-20,4,16,19,5,55,0.7
2019-6-21,4,15,21,6,75,0.7
2019-6-22,4,14,24,6,71,0.6
2019-6-23,3,24,27,6,54,0.6
2019-6-24,4,41,22,9,24,0.8
2019-6-25,10,35,29,16,113,0.8
2019-6-26,14,44,36,20,90,1
2019-6-27,10,25,31,14,87,0.8
2019-6-28,8,23,32,12,112,0.7
2019-6-29,8,19,30,11,117,0.7
2019-6-30,7,33,34,13,96,0.8
2019-7-1,6,37,31,14,150,0.7
2019-7-2,6,33,29,10,128,0.6
2019-7-3,4,30,14,4,32,0.6
2019-7-4,5,21,24,9,59,0.7
2019-7-5,6,18,27,9,92,0.6
2019-7-6,7,16,26,9,99,0.6
2019-7-7,6,10,25,9,77,0.6
2019-7-8,6,11,29,10,68,0.6
2019-7-9,7,16,34,13,71,0.6
2019-7-10,5,37,17,10,28,0.8
2019-7-11,6,46,37,21,88,0.9
2019-7-12,6,19,32,15,60,0.7
2019-7-13,7,14,34,15,72,0.6
2019-7-14,6,17,31,16,74,0.7
2019-7-15,6,17,38,19,102,0.7
2019-7-16,6,21,41,22,150,0.7
2019-7-17,9,30,41,36,236,0.8
2019-7-18,11,32,53,36,173,0.9
2019-7-19,7,39,42,25,70,1
2019-7-20,6,44,42,24,93,1
2019-7-21,5,32,30,19,58,0.9
2019-7-22,6,43,38,22,84,1
2019-7-23,4,40,28,15,57,0.9
2019-7-24,3,34,27,12,49,0.9
2019-7-25,4,23,27,11,90,0.8
2019-7-26,7,23,30,13,107,0.8
2019-7-27,5,18,26,11,105,0.8
2019-7-28,6,22,26,11,60,0.8
2019-7-29,5,34,25,13,107,0.8
2019-7-30,4,25,25,7,77,0.8
2019-7-31,4,25,18,4,25,0.8
2019-8-1,2,21,10,2,30,0.8
2019-8-2,3,25,16,5,40,0.9
2019-8-3,4,33,23,7,78,0.9
2019-8-4,6,34,40,20,185,1
2019-8-5,7,40,48,27,246,0.9
2019-8-6,9,37,37,19,142,0.8
2019-8-7,7,36,45,28,236,0.8
2019-8-8,8,31,48,30,228,0.8
2019-8-9,10,30,54,34,202,0.8
2019-8-10,6,22,44,30,153,0.8
2019-8-11,7,14,32,20,134,0.7
2019-8-12,9,21,33,16,138,0.7
2019-8-13,8,19,33,16,140,0.7
2019-8-14,9,22,40,20,182,0.7
