监测时间,SO2监测浓度(μg/m3),NO2监测浓度(μg/m3),PM10监测浓度(μg/m3),PM2.5监测浓度(μg/m3),O3监测浓度(μg/m3),CO监测浓度(mg/m3),温度(℃),湿度(%),气压(MBar),风速(m/s),风向(°),云量,长波辐射（W/m2）
2019-04-16 00:00:00,5.0,75.0,61.0,38.0,1.0,1.0,21.1,89.0,1013.0,1.2,346.5,0.0382011,428.278
2019-04-16 01:00:00,5.0,64.0,60.0,41.0,25.0,0.8,20.4,92.0,1012.4,1.1,18.0,0.0588922,427.531
2019-04-16 02:00:00,4.0,60.0,36.0,40.0,25.0,0.8,20.0,93.0,1011.3,1.1,65.9,0.0650386,427.428
2019-04-16 03:00:00,4.0,39.0,35.0,33.0,41.0,0.7,19.8,93.0,1010.4,1.5,78.4,1.0,442.472
2019-04-16 04:00:00,4.0,39.0,28.0,39.0,36.0,0.8,19.9,92.0,1010.0,1.5,73.5,0.935074,458.394
2019-04-16 05:00:00,4.0,42.0,34.0,39.0,32.0,0.8,20.0,92.0,1010.0,1.9,76.5,0.786406,429.248
2019-04-16 06:00:00,5.0,38.0,41.0,40.0,38.0,0.7,20.2,89.0,1010.3,1.3,125.6,0.378593,429.953
2019-04-16 07:00:00,6.0,49.0,38.0,48.0,26.0,0.7,20.2,90.0,1011.5,1.2,9.8,0.18994,426.906
2019-04-16 08:00:00,5.0,57.0,31.0,42.0,23.0,0.8,20.0,92.0,1012.7,1.9,356.7,0.18341,426.406
2019-04-16 09:00:00,5.0,58.0,11.0,33.0,20.0,0.8,19.7,92.0,1013.1,1.8,20.6,0.18341,426.406
2019-04-16 10:00:00,4.0,50.0,3.0,6.0,31.0,0.8,20.1,91.0,1012.7,1.4,78.8,0.0941508,427.465
2019-04-16 11:00:00,4.0,53.0,10.0,7.0,37.0,0.9,20.9,88.0,1012.4,1.1,238.6,0.0538522,430.24
2019-04-16 12:00:00,7.0,58.0,25.0,8.0,48.0,0.9,21.6,86.0,1011.0,1.2,248.6,0.0312602,432.982
2019-04-16 13:00:00,6.0,51.0,22.0,24.0,77.0,0.8,22.8,79.0,1010.8,1.4,16.8,0.0243073,435.459
2019-04-16 14:00:00,5.0,38.0,18.0,20.0,99.0,0.7,24.3,73.0,1009.8,1.3,5.1,0.0130307,434.1
2019-04-16 15:00:00,5.0,37.0,19.0,14.0,128.0,0.7,25.6,68.0,1009.2,1.5,5.9,0.0,443.455
2019-04-16 16:00:00,4.0,44.0,31.0,17.0,130.0,0.8,25.6,66.0,1009.1,1.5,7.3,1.0,481.896
2019-04-16 17:00:00,5.0,48.0,47.0,22.0,153.0,0.8,25.1,69.0,1009.3,1.3,348.0,0.0,484.802
2019-04-16 18:00:00,5.0,56.0,39.0,35.0,105.0,0.8,24.2,72.0,1009.3,1.5,355.0,0.0,453.007
2019-04-16 19:00:00,5.0,62.0,43.0,29.0,78.0,0.9,23.4,76.0,1009.6,0.6,341.5,0.219314,452.111
2019-04-16 20:00:00,5.0,67.0,49.0,40.0,55.0,1.0,22.8,79.0,1010.5,0.5,287.4,0.0622471,446.168
2019-04-16 21:00:00,5.0,71.0,51.0,39.0,32.0,1.1,22.4,81.0,1011.1,0.2,189.7,0.137627,436.141
2019-04-16 22:00:00,5.0,100.0,61.0,47.0,2.0,1.1,21.9,84.0,1011.6,0.4,223.8,0.141173,432.954
2019-04-16 23:00:00,5.0,90.0,62.0,48.0,1.0,1.2,21.6,86.0,1011.7,0.4,265.2,0.146696,426.418
2019-04-17 00:00:00,5.0,77.0,50.0,50.0,1.0,1.1,21.2,87.0,1011.4,0.3,247.1,0.147554,427.691
2019-04-17 01:00:00,5.0,84.0,54.0,41.0,0.0,1.2,20.9,88.0,1011.0,0.3,294.5,0.0739639,429.974
2019-04-17 02:00:00,5.0,81.0,57.0,46.0,0.0,1.2,20.9,89.0,1010.6,0.2,272.1,0.0758454,428.794
2019-04-17 03:00:00,6.0,91.0,57.0,40.0,0.0,1.3,21.0,89.0,1010.0,0.2,342.3,0.109583,427.635
2019-04-17 04:00:00,8.0,96.0,63.0,50.0,0.0,1.3,21.1,88.0,1010.0,0.4,324.5,0.163882,427.733
2019-04-17 05:00:00,7.0,92.0,66.0,53.0,0.0,1.4,21.0,89.0,1010.2,0.2,123.7,0.0787658,428.641
2019-04-17 06:00:00,8.0,89.0,83.0,60.0,0.0,1.7,21.1,90.0,1010.7,0.5,50.9,0.296545,430.022
2019-04-17 07:00:00,8.0,88.0,93.0,65.0,1.0,1.7,21.8,88.0,1011.4,0.7,30.6,0.94878,458.96
2019-04-17 08:00:00,12.0,90.0,86.0,65.0,6.0,1.5,22.9,82.0,1012.2,1.3,49.0,0.890487,432.3
2019-04-17 09:00:00,14.0,74.0,71.0,64.0,28.0,1.0,23.7,75.0,1012.8,1.5,53.6,0.770865,451.353
2019-04-17 10:00:00,11.0,59.0,36.0,46.0,66.0,0.9,24.6,70.0,1012.7,1.3,83.2,0.770865,451.353
2019-04-17 11:00:00,11.0,40.0,36.0,33.0,112.0,0.8,25.4,67.0,1012.1,1.4,97.2,0.367493,433.079
2019-04-17 12:00:00,10.0,33.0,34.0,27.0,146.0,0.8,26.0,64.0,1011.3,1.6,54.8,0.0282646,434.427
2019-04-17 13:00:00,11.0,31.0,45.0,33.0,209.0,0.8,26.7,62.0,1010.3,1.3,93.1,0.0162469,437.364
2019-04-17 14:00:00,11.0,33.0,64.0,53.0,232.0,0.8,27.3,61.0,1009.4,0.8,221.0,0.0198342,440.546
2019-04-17 15:00:00,11.0,38.0,63.0,56.0,256.0,0.9,28.3,59.0,1008.6,0.8,283.5,0.0,439.676
2019-04-17 16:00:00,14.0,52.0,97.0,70.0,266.0,1.0,27.5,62.0,1008.0,1.1,232.5,0.0,446.603
2019-04-17 17:00:00,9.0,60.0,118.0,81.0,245.0,1.0,27.0,65.0,1008.0,1.1,254.4,0.0,454.995
2019-04-17 18:00:00,13.0,54.0,166.0,85.0,173.0,1.0,26.4,69.0,1008.1,1.0,239.6,0.0,460.11
2019-04-17 19:00:00,10.0,62.0,73.0,72.0,119.0,1.1,26.1,71.0,1008.7,1.4,232.0,0.152441,460.461
2019-04-17 20:00:00,11.0,52.0,68.0,72.0,91.0,1.0,25.7,74.0,1009.2,1.0,272.4,1.0,489.974
2019-04-17 21:00:00,10.0,46.0,59.0,54.0,74.0,0.8,25.0,76.0,1009.6,0.9,34.6,0.406075,452.086
2019-04-17 22:00:00,8.0,37.0,37.0,39.0,68.0,0.7,24.7,76.0,1009.8,0.9,339.6,0.237834,445.488
2019-04-17 23:00:00,9.0,56.0,38.0,26.0,38.0,0.8,24.5,77.0,1009.8,0.8,52.7,0.251663,437.459
2019-04-18 00:00:00,9.0,56.0,53.0,29.0,30.0,0.8,23.9,82.0,1009.5,0.8,63.5,0.201548,432.856
2019-04-18 01:00:00,8.0,45.0,59.0,43.0,31.0,0.8,23.7,84.0,1009.1,0.7,113.0,0.292472,430.411
2019-04-18 02:00:00,8.0,45.0,46.0,42.0,35.0,0.7,23.6,84.0,1008.2,1.0,104.1,0.262253,426.626
2019-04-18 03:00:00,7.0,22.0,23.0,39.0,75.0,0.6,23.4,82.0,1007.7,1.2,90.1,0.268438,425.367
2019-04-18 04:00:00,7.0,22.0,22.0,24.0,73.0,0.6,23.4,82.0,1007.8,1.4,96.5,0.0661945,423.098
2019-04-18 05:00:00,6.0,31.0,24.0,26.0,55.0,0.6,23.4,82.0,1007.9,1.3,116.3,0.0469358,429.035
2019-04-18 06:00:00,7.0,36.0,26.0,30.0,51.0,0.7,23.4,82.0,1008.5,1.5,119.1,0.246585,430.695
2019-04-18 07:00:00,7.0,40.0,26.0,37.0,56.0,0.7,23.7,81.0,1008.6,1.8,118.9,0.304199,430.005
2019-04-18 08:00:00,6.0,35.0,25.0,32.0,69.0,0.7,24.1,79.0,1008.8,1.8,110.9,0.128132,429.937
2019-04-18 09:00:00,7.0,38.0,31.0,26.0,69.0,0.7,24.4,79.0,1009.1,1.8,122.1,0.0789775,426.972
2019-04-18 10:00:00,6.0,41.0,37.0,27.0,70.0,0.7,24.8,78.0,1009.2,1.5,115.3,0.0559358,428.522
2019-04-18 11:00:00,6.0,39.0,39.0,24.0,81.0,0.7,24.8,78.0,1008.9,1.9,115.0,0.0559358,428.522
2019-04-18 12:00:00,6.0,32.0,36.0,26.0,94.0,0.6,25.1,76.0,1008.1,2.3,121.7,0.0651633,431.182
